0001024924E5;192.168.56.29;A0209
000476378BBC;192.168.51.14;A0315
000102AF5F3F;192.168.56.27;A0207
000103BA3E49;192.168.51.15;A0316
000A5E4F5661;192.168.51.23;A0324
000A5E4FDF59;192.168.51.16;A0317
000A5E43072A;192.168.51.25;A0326
000A5E4F55EA;192.168.51.24;A0325
000A5E4FDCCD;192.168.51.12;A0313
000A5E4FE04D;192.168.51.18;A0319
000A5E4FDF84;192.168.51.13;A0314
000476DBA61E;192.168.56.23;A0203
000A5E4FE0B7;192.168.51.22;A0323
000A5E4FE0B8;192.168.51.19;A0320
000103CCA5D4;192.168.56.16;A0196
00010239898F;192.168.56.30;A0210
000476E03130;192.168.56.24;A0204
000476DB6B08;192.168.56.26;A0206
000476DBAC3B;192.168.56.22;A0202
000476DCEE5F;192.168.56.25;A0205
000476E02BC1;192.168.56.28;A0208
000A5E4FE0AB;192.168.51.21;A0322
000A5E4F5662;192.168.51.28;A0329
00010233C65F;192.168.52.252;PRUEBA-CAD
0050DA763B3E;192.168.56.14;A0231
000476DBA8E8;192.168.56.11;A0228
00010275BBBF;192.168.56.15;A0195
000102AF5F84;192.168.56.12;A0192
000102AF5FAF;192.168.56.13;A0193
000103FB0A38;192.168.56.20;A0237
000103276581;192.168.56.21;A0238
000A5E4FDF83;192.168.51.20;A0321
0050DA234081;192.168.56.17;A0234
000103695FF0;192.168.56.18;A0235
000102AF5F6A;192.168.56.19;A0236
000A5E3E360F;192.168.51.11;A0312
000A5E3E3E81;192.168.52.251;PRUEBA-CAD1
000A5E4F558B;192.168.51.27;A0328
000A5E4F557F;192.168.51.30;A0331
000475E5AB1D;192.168.51.29;A0330
000475D61D1C;192.168.51.26;A0327
0002A5DBA97F;192.168.50.11;A0534
0002A5CF58D3;192.168.50.13;A0540
0002A5CEE8FE;192.168.50.12;A0539
0002A5CEEEF3;192.168.50.14;A0541
0008021628A8;192.168.50.22;A0549
0002A5CF5B1A;192.168.50.25;A0552
0008023447A8;192.168.50.15;A0542
0002A5CEFAE4;192.168.50.17;A0544
0008021F2107;192.168.50.18;A0545
0002A5CEE933;192.168.50.19;A0546
0002A5CEF991;192.168.50.23;A0550
0002A5CEFB7F;192.168.50.21;A0548
0002A5CEF9E2;192.168.50.28;A0555
0008021E6FB7;192.168.50.26;A0553
0002A5CEEDBC;192.168.50.27;A0554
